@relation v1

@attribute id real
@attribute type real
@attribute language real
@attribute parent_id real
@attribute pub_date real
@attribute rec_date real
@attribute category_id real
@attribute author_id real
@attribute views real

@data
4667,16,1,4666,14263,12088,23,2907,3729
4668,16,1,4666,14263,12090,23,2907,947
4669,16,1,4666,14263,12093,23,2907,858
4670,16,1,4666,14263,12095,23,2907,545
4671,16,1,4666,14263,12097,23,2907,349
4672,16,1,4666,14263,12102,23,2907,680
4673,16,1,4666,14263,12104,23,2907,269
4674,16,1,4666,14263,12107,23,2907,201
4675,16,1,4666,14263,12111,23,2907,560
4676,16,1,4666,14263,12114,23,2907,237
4677,16,1,4666,14263,12116,23,2907,270
4678,16,1,4666,14263,12118,23,2907,183
4679,16,1,4666,14263,12121,23,2907,176
4680,16,1,4666,14263,12123,23,2907,118
4681,16,1,4666,14263,12125,23,2907,1594
4682,16,1,4666,14263,12128,23,2907,267
4683,16,1,4666,14263,12130,23,2907,249
4684,16,1,4666,14263,12142,23,2907,1149
4685,16,1,4666,14263,12144,23,2907,837
4686,16,1,4666,14263,12149,23,2907,835
4687,16,1,4666,14263,12151,23,2907,421
4688,16,1,4666,14263,12153,23,2907,615
4689,16,1,4666,14263,12156,23,2907,193
4690,16,1,4666,14263,12158,23,2907,478
4691,16,1,4666,14263,12160,23,2907,268
4692,16,1,4666,14263,12165,23,2907,126
4693,16,1,4666,14263,12167,23,2907,278
4694,16,1,4666,14263,12170,23,2907,139
4695,16,1,4666,14263,12170,23,2907,113
4696,16,1,4666,14263,12177,23,2907,272
4697,16,1,4666,14263,12179,23,2907,243
4698,16,1,4666,14263,12181,23,2907,235
5302,16,1,5148,14287,14055,95,3431,335
5653,16,1,5652,14285,10898,59,3674,3144
5654,16,1,5652,14285,10903,59,3674,468
5655,16,1,5652,14285,10907,59,3674,411
5656,16,1,5652,14285,10912,59,3674,284
5657,16,1,5652,14285,10914,59,3674,520
5658,16,1,5652,14285,10919,59,3674,418
5659,16,1,5652,14285,10926,59,3674,367
5660,16,1,5652,14285,10931,59,3674,351
5661,16,1,5652,14285,12236,59,3674,385
5662,16,1,5652,14285,12236,59,3674,250
5663,16,1,5652,14285,12236,59,3674,168
5664,16,1,5652,14285,12236,59,3674,220
5665,16,1,5652,14285,12236,59,3674,238
5666,16,1,5652,14285,12236,59,3674,2015
5667,16,1,5652,14285,12236,59,3674,926
5668,16,1,5652,14285,12662,59,3674,567
5669,16,1,5652,14285,12662,59,3674,256
5670,16,1,5652,14285,12662,59,3674,384
5671,16,1,5652,14285,12662,59,3675,774
5672,16,1,5652,14285,12685,59,3675,119
5674,16,1,5652,14285,12690,59,3675,616
5675,16,1,5652,14285,12697,59,3675,168
5676,16,1,5652,14285,12699,59,3675,393
5678,16,1,5652,14285,12706,59,3675,531
5679,16,1,5652,14285,12711,59,3675,234
5681,16,1,5652,14285,12716,59,3675,114
5682,16,1,5652,14285,12723,59,3675,282
5683,16,1,5652,14285,12725,59,3675,680
5684,16,1,5652,14285,12730,59,3675,482
5686,16,1,5652,14285,12732,59,3675,147
5687,16,1,5652,14285,12734,59,3675,376
5688,16,1,5652,14286,12760,59,3675,0
5689,16,1,5652,14286,14217,59,3675,168
5690,16,1,5652,14286,14217,59,3675,172
5691,16,1,5652,14285,12744,59,3675,328
5692,16,1,5652,14285,12755,59,3675,92
5719,16,1,5685,14594,12299,99,3676,318
5720,16,1,5685,14594,12304,99,3676,435
5721,16,1,5685,14594,12306,99,3676,222
5722,16,1,5685,14594,12311,99,3676,132
5723,16,1,5685,14594,12313,99,3676,92
5724,16,1,5685,14594,12318,99,3676,106
5725,16,1,5685,14594,12320,99,3676,67
5726,16,1,5685,14594,12325,99,3676,71
5727,16,1,5685,14594,12327,99,3676,202
5728,16,1,5685,14594,12334,99,3676,91
5729,16,1,5685,14594,12339,99,3676,78
5730,16,1,5685,14594,12341,99,3676,89
5731,16,1,5685,14594,12346,99,3676,49
5732,16,1,5685,14594,12348,99,3676,32
5733,16,1,5685,14594,12353,99,3676,55
5734,16,1,5685,14594,12360,99,3676,49
5735,16,1,5685,14594,12362,99,3676,74
5736,16,1,5685,14594,12369,99,3676,53
5737,16,1,5685,14594,12374,99,3676,92
5738,16,1,5685,14594,12376,99,3676,158
5739,16,1,5685,14594,12381,99,3676,140
5740,16,1,5685,14594,12388,99,3676,55
5741,16,1,5685,14594,12390,99,3676,27
5742,16,1,5685,14594,12395,99,3676,37
5779,16,1,5695,14285,13033,175,3677,6376
5780,16,1,5693,14285,10900,138,3678,5911
5781,16,1,5693,14285,10910,138,4504,5186
5782,16,1,5693,14285,10914,138,4504,2613
5783,16,1,5693,14285,10924,138,3678,2811
5784,16,1,5693,14285,10933,138,4504,1699
5785,16,1,5693,14285,12236,138,3678,1385
5786,16,1,5693,14285,12236,138,3678,1626
5787,16,1,5693,14285,12236,138,3678,1338
5788,16,1,5693,14285,12662,138,4504,884
5789,16,1,5693,14285,12662,138,4504,5248
5790,16,1,5693,14285,12678,138,3678,1071
5791,16,1,5693,14285,12683,138,4504,917
5792,16,1,5693,14285,12692,138,3678,871
5793,16,1,5693,14285,12695,138,3678,431
5794,16,1,5693,14285,12704,138,3678,3097
5795,16,1,5693,14285,12709,138,3678,2574
5796,16,1,5693,14285,12713,138,4504,6012
5797,16,1,5693,14285,12720,138,4504,4807
5798,16,1,5693,14285,12727,138,4504,1465
5799,16,1,5693,14285,12737,138,3678,589
5800,16,1,5693,14285,12741,138,3678,166
5801,16,1,5693,14285,12744,138,4504,266
5802,16,1,5693,14285,12758,138,4504,233
5886,16,1,5695,14285,13035,175,3677,1521
5887,16,1,5695,14285,13038,175,3677,893
5888,16,1,5695,14285,13040,175,3677,888
5889,16,1,5695,14285,13042,175,3677,522
5890,16,1,5695,14285,13047,175,3677,709
5891,16,1,5695,14285,13049,175,3677,403
5892,16,1,5695,14285,13052,175,3677,362
5893,16,1,5695,14285,13054,175,3677,518
5894,16,1,5695,14285,13056,175,3677,465
5895,16,1,5695,14285,13059,175,3677,288
5896,16,1,5695,14285,13063,175,3677,172
5897,16,1,5695,14285,13068,175,3677,154
5898,16,1,5695,14285,13070,175,3677,413
5899,16,1,5695,14285,13073,175,3677,216
5900,16,1,5695,14285,13075,175,3677,263
5901,16,1,5695,14285,13077,175,3677,342
5902,16,1,5695,14285,13080,175,3677,285
5903,16,1,5695,14285,13082,175,3677,203
5904,16,1,5695,14285,13084,175,3677,310
5905,16,1,5695,14285,13087,175,3677,885
5906,16,1,5695,14285,13091,175,3677,285
5907,16,1,5695,14285,13094,175,3677,296
5908,16,1,5695,14285,13096,175,3677,267
5909,16,1,5695,14285,13101,175,3677,57
5910,16,1,5695,14285,13103,175,3677,180
5911,16,1,5695,14285,13105,175,3677,284
5912,16,1,5695,14285,13108,175,3677,151
5913,16,1,5695,14285,13110,175,3677,356
5914,16,1,5695,14285,13115,175,3677,627
5915,16,1,5695,14285,13119,175,3677,334
5916,16,1,5695,14285,13129,175,3677,850
5917,16,1,5695,14285,13131,175,3677,58
5918,16,1,5695,14285,10829,175,3677,167
5919,16,1,5695,14285,13033,175,3677,134
5920,7,1,6583,14301,13935,156,1783,215
5975,16,1,5961,14594,13544,262,3746,170
6023,16,1,5960,14273,13216,80,3986,238
6462,16,1,6359,14259,13108,210,4029,32
6463,16,3,6359,14259,14006,168,2517,68
6464,16,3,6359,14259,14154,240,1226,19
6465,16,3,6359,14259,14189,173,2344,26
6466,16,3,6359,14259,14165,69,4030,43
6468,16,1,6359,14259,13104,156,4032,150
6469,16,3,6359,14259,14172,58,168,64
6470,16,3,6359,14259,14179,240,4033,9
6471,16,1,6359,14259,13125,224,4034,67
6472,16,3,6359,14259,14179,239,4035,133
6473,16,3,6359,14259,14186,59,4036,38
6474,16,1,6359,14259,13230,172,4037,91
6475,16,3,6359,14259,14193,91,4038,66
6476,16,3,6359,14259,14193,60,4039,183
6477,16,1,6359,14259,13272,60,2509,182
6479,16,3,6359,14259,14207,80,4041,276
6516,11,1,6514,14258,13646,90,4068,33
6517,16,1,6514,14258,13646,90,4069,48
6518,16,1,6514,14258,13646,90,4070,100
6519,13,1,6514,14258,13650,90,4075,16
6520,16,1,6514,14258,13646,90,4071,33
6521,16,1,6514,14258,13646,90,4072,50
6522,13,1,6514,14258,13650,90,4076,4
6523,16,1,6514,14258,13646,90,4067,92
6524,16,1,6514,14258,13646,90,4066,58
6525,16,1,6514,14258,13646,90,4073,97
6526,16,1,6514,14258,13646,90,4074,34
6527,13,1,6514,14258,13646,90,4074,18
6726,7,1,6759,14280,13973,58,4157,223
6760,7,1,6759,14280,13984,58,4281,250
6761,7,1,6759,14280,13984,221,4282,512
6762,7,1,6759,14280,13984,58,4283,103
6763,7,1,6759,14280,14109,58,4284,429
6764,7,1,6759,14280,13930,58,4285,536
6765,7,1,6759,14280,14071,58,4286,182
6779,7,1,6778,14280,14113,58,4294,1710
6780,7,1,6778,14280,14113,58,4295,3484
6781,7,1,6778,14280,14113,58,4296,740
6782,7,1,6778,14280,14113,58,4297,57
6851,7,1,6759,14280,13966,58,4340,79
6878,16,1,6877,14403,14148,173,2344,47
6879,16,1,6877,14403,13943,173,2344,63
6880,16,1,6877,14403,14146,322,2344,122
6881,16,3,6877,14403,14137,173,2344,13
7062,16,1,6305,14315,12674,83,4472,3616
7063,16,1,6305,14315,12676,83,4472,2267
7064,16,1,6305,14315,12678,83,4472,1486
7065,16,1,6305,14315,12681,83,4472,900
7066,16,1,6305,14315,12683,83,4472,519
7067,16,1,6305,14315,12685,83,4473,1722
7068,16,1,6305,14315,12688,83,4473,642
7069,16,1,6305,14315,12690,83,4473,319
7070,16,1,6305,14315,12692,83,4473,365
7071,16,1,6305,14315,12697,83,4473,803
7072,16,1,6305,14315,12699,83,4473,362
7073,16,1,6305,14315,12704,83,4473,288
7074,16,1,6305,14315,12706,83,4473,433
7075,16,1,6305,14315,12709,83,3682,321
7076,16,1,6305,14315,12711,83,4473,405
7077,16,1,6305,14315,12713,83,4473,185
7078,16,1,6305,14315,12718,83,4473,153
7079,16,1,6305,14315,12720,83,4473,138
7080,16,1,6305,14315,12723,83,4472,670
7081,16,1,6305,14315,12725,83,4472,430
7082,16,1,6305,14315,12727,83,4472,314
7083,16,1,6305,14315,12730,83,4472,1379
7084,16,1,6305,14315,12737,83,4472,524
7085,16,1,6305,14315,14200,83,4472,230
7087,16,1,6305,14315,12741,83,4473,444
7088,16,1,6305,14315,14287,83,4473,248
7089,16,1,6305,14315,12744,83,4474,248
7090,16,1,6305,14315,12746,83,4472,221
7091,16,1,6305,14315,12751,83,4472,108
7092,16,1,6305,14315,12753,83,4472,192
7093,16,1,6305,14315,12755,83,4472,159
7094,16,1,6305,14315,12758,83,4473,135
7095,16,1,6305,14315,12760,83,4473,147
7096,16,1,6305,14315,14287,83,4472,210
7098,7,1,6759,14280,13985,58,4475,175
7099,16,1,3854,14259,13426,16,4476,224
7100,16,1,3854,14259,13458,16,4477,708
7101,16,1,3854,14259,13566,16,4478,216
7102,16,1,3854,14259,13667,16,4479,229
7103,16,1,3854,14259,13842,16,1498,74
7104,16,1,3854,14259,13846,16,4480,202
7105,16,1,3854,14259,13916,16,1880,155
7106,16,1,3854,14259,13958,16,4481,296
7107,16,1,3854,14259,13986,149,1098,373
7108,16,1,0,14264,14242,13,4482,92
7109,16,1,6315,14285,13038,2,4483,185
7110,16,1,6315,14285,13040,2,4483,48
7111,16,1,6315,14285,13047,95,4484,215
7112,16,1,6315,14285,13052,2,4485,175
7113,16,1,6315,14285,13054,2,2912,172
7114,16,1,6315,14285,13059,2,4487,78
7115,16,1,6315,14285,13061,2,4488,81
7116,16,1,6315,14285,13073,2,4483,13
7117,16,1,6315,14285,13075,2,4489,37
7118,16,1,6315,14285,13080,2,4490,47
7225,7,4,7226,14280,13983,219,4502,27
7227,7,4,7226,14280,13983,219,4503,28
7230,9,1,6767,14271,14264,92,4494,28
7231,15,1,6767,14271,14264,2,4505,82
7232,16,1,6767,14271,14264,92,4506,179
7233,13,1,6767,14271,14264,92,4656,88
7234,16,1,6767,14271,14264,92,4507,82
7235,16,1,6767,14271,14264,92,4508,23
7236,13,1,6767,14271,14264,92,4660,69
7241,16,1,7240,14284,14271,27,4510,77
7242,16,1,7240,14284,14271,155,4509,102
7243,16,1,7240,14284,14271,155,4509,81
7244,16,1,7240,14284,14271,42,2597,153
7245,16,1,7240,14284,14271,155,3952,53
7246,7,1,6759,14280,13984,58,4511,629
7250,7,1,6759,14280,13951,58,4513,791
7251,7,1,6759,14280,13977,58,4514,72
7253,7,1,6759,14280,14014,225,4515,656
7254,7,1,6759,14280,14034,13,4516,371
7255,7,1,6759,14280,14042,219,4517,258
7256,7,1,6759,14280,14070,221,4518,305
7257,7,1,6759,14280,14063,219,4519,105
7258,7,1,6759,14280,13983,219,4520,116
7259,7,1,6759,14280,14217,13,4521,258
7260,7,1,6759,14280,13983,219,4522,82
7261,7,1,6778,14280,14110,227,4523,217
7262,7,1,6778,14280,14110,227,4524,184
7263,7,1,6778,14280,14110,227,4525,46
7264,7,1,6778,14280,14110,227,4526,241
7265,7,1,6778,14280,14113,227,4527,235
7266,7,1,6778,14280,13986,227,4528,100
7267,7,1,6778,14280,13986,227,4529,188
7268,7,1,6778,14280,13986,227,4530,134
7270,7,1,6778,14280,14110,227,4532,49
7271,7,1,6778,14280,14111,227,4533,73
7272,7,1,6778,14280,14111,227,4534,58
7274,7,1,6778,14280,14111,227,4535,159
7275,7,1,6778,14280,14111,227,4536,146
7276,7,1,6778,14280,14112,227,4537,600
7277,7,1,6778,14280,14109,227,4538,132
7278,7,1,6778,14280,14113,227,4539,130
7279,7,1,6778,14280,14113,227,4540,71
7280,7,1,6778,14280,14113,227,4541,361
7281,7,1,6778,14280,14112,227,4542,92
7282,7,1,6778,14280,14112,227,4543,112
7283,7,1,6778,14280,14112,227,4544,222
7284,7,1,6778,14280,14109,227,4545,117
7285,7,1,6778,14280,14110,227,4546,2505
7286,7,1,6778,14280,14110,227,4547,101
7287,7,1,6778,14280,14110,227,4548,41
7288,7,1,6778,14280,14111,227,4549,174
7289,16,1,6301,14497,13402,80,4550,63
7290,16,1,6301,14497,13409,80,4551,53
7291,7,1,6778,14280,14113,227,4552,121
7292,16,1,6301,14497,13458,80,4553,24
7293,7,1,6778,14280,14110,227,4554,136
7294,7,1,6778,14280,14112,227,4555,86
7295,16,1,6301,14497,13465,80,4556,24
7296,7,1,6778,14280,14112,227,4557,94
7297,7,1,6778,14280,14112,227,4558,37
7298,16,1,6301,14497,13472,80,4559,8
7299,7,1,6778,14280,14112,227,4560,68
7300,7,1,6778,14280,13985,227,4561,113
7301,16,1,6301,14497,13479,80,4562,17
7302,16,1,6299,14350,12387,31,4564,737
7303,16,1,6299,14350,12389,31,4569,95
7313,7,4,7226,14280,14165,219,4573,37
7314,7,4,7226,14280,14165,219,4574,28
7315,7,4,7226,14280,13607,219,4574,30
7316,7,4,7226,14280,14165,219,4574,171
7317,7,4,7226,14280,14165,219,4575,32
7318,7,4,7226,14280,14167,219,4576,43
7319,7,4,7226,14280,14167,219,4572,26
7320,7,4,7226,14280,14166,219,4503,12
